"automated","collectionProtocol","comments","createdBy","groupNames","inputCount","instrumentName","jobId","jobStatus","name","plateId","primaryProtocol","protocolName","referenceSequenceName","sampleName","sequencingCondition","version","whenStarted"
"true","MagBead OneCellPerWell v1","","administrator","all","1","42163R","16797","Completed","PB000274_ER_28502_3A_HGAP3","PB_000274_ER_isolate_P6_121520_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","PB000274_ER_28502_3A_5K_P6_121520_MOCPW_70pM","","2.3.0","Wed Dec 16 13:42:56 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16796","Completed","PB000271_ER_28090_3A_HGAP3","PB_000271_ER_isolates_P6_121020_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","PB000271_ER_28090_3A_5K_P6_121020_MOCPW_70pM","","2.3.0","Fri Dec 11 12:36:26 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16795","Completed","PB000271_ER_28383_3A_HGAP3","PB_000271_ER_isolates_P6_121020_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","PB000271_ER_28383_3A_5K_P6_121020_MOCPW_70pM","","2.3.0","Fri Dec 11 12:35:32 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16794","Completed","PB000268_ER_28229_3A_HGAP3","PB_000268_ER_High_Priority_P6_120320_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","PB000268_ER_28229_3A_5K_120320_MOCPW_80pM","","2.3.0","Mon Dec 07 13:35:22 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16793","Completed","PB000268_ER_28223_3A_HGAP3","PB_000268_ER_High_Priority_P6_120320_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","PB000268_ER_28223_3A_5K_120320_MOCPW_80pM","","2.3.0","Mon Dec 07 13:34:37 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16792","Completed","PB000268_ER_28224_3A_HGAP3","PB_000268_ER_High_Priority_P6_120320_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","PB000268_ER_28224_3A_5K_120320_MOCPW_80pM","","2.3.0","Mon Dec 07 13:33:42 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16791","Completed","TD02263_ER_27941_3A_HGAP3","TD_02263_ER_isolates_P6_111720_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD02263_ER_27941_3A_5K_P6_111720_MOCPW_70pM","","2.3.0","Wed Nov 18 12:32:18 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42163R","16790","Completed","TD02263_ER_27942_3A_HGAP3","TD_02263_ER_isolates_P6_111720_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD02263_ER_27942_3A_5K_P6_111720_MOCPW_70pM","","2.3.0","Wed Nov 18 12:31:26 EST 2020"
"true","MagBead OneCellPerWell v1","","administrator","all","1","42163R","16789","Completed","TD02205_HERVK_3plex_subreads","TD_02244_TD_02251_ER_isolates_TD02205_HERVK_P6_111220_MOCPW","BasecallerV1","RS_Subreads.1","","TD02205_HERV_3plx_BP_P6_111220_MOCPW_85pM","","2.3.0","Tue Nov 17 16:59:34 EST 2020"
"true","MagBead OneCellPerWell v1","","administrator","all","1","42163R","16788","Completed","Copy_of_Copy_of_TD02251_ER_27790_3A_HGAP3","TD_02244_TD_02251_ER_isolates_TD02205_HERVK_P6_111220_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD02251_ER_27790_3A_5K_P6_111220_MOCPW_70pM","","2.3.0","Fri Nov 13 13:59:26 EST 2020"
